reference_date,target,horizon,location,output_type,output_type_id,value
2026-01-18,weekly incident influenza cases,0,SE,mean,,1826.500000
2026-01-18,weekly incident influenza cases,1,SE,mean,,1849.200000
2026-01-18,weekly incident influenza cases,2,SE,mean,,1871.900000
2026-01-18,weekly incident influenza cases,3,SE,mean,,1894.600000
2026-01-18,weekly incident influenza cases,0,SE-M,mean,,167.500000
2026-01-18,weekly incident influenza cases,1,SE-M,mean,,178.400000
2026-01-18,weekly incident influenza cases,2,SE-M,mean,,189.300000
2026-01-18,weekly incident influenza cases,3,SE-M,mean,,200.200000
2026-01-18,weekly incident influenza cases,0,SE-O,mean,,321.500000
2026-01-18,weekly incident influenza cases,1,SE-O,mean,,368.400000
2026-01-18,weekly incident influenza cases,2,SE-O,mean,,415.300000
2026-01-18,weekly incident influenza cases,3,SE-O,mean,,462.200000
