reference_date,target,horizon,location,output_type,output_type_id,value
2026-03-08,weekly incident influenza cases,0,SE,mean,,1314.500000
2026-03-08,weekly incident influenza cases,1,SE,mean,,1260.200000
2026-03-08,weekly incident influenza cases,2,SE,mean,,1205.900000
2026-03-08,weekly incident influenza cases,3,SE,mean,,1151.600000
2026-03-08,weekly incident influenza cases,0,SE-M,mean,,142.500000
2026-03-08,weekly incident influenza cases,1,SE-M,mean,,121.200000
2026-03-08,weekly incident influenza cases,2,SE-M,mean,,99.900000
2026-03-08,weekly incident influenza cases,3,SE-M,mean,,78.600000
2026-03-08,weekly incident influenza cases,0,SE-O,mean,,198.500000
2026-03-08,weekly incident influenza cases,1,SE-O,mean,,182.600000
2026-03-08,weekly incident influenza cases,2,SE-O,mean,,166.700000
2026-03-08,weekly incident influenza cases,3,SE-O,mean,,150.800000
