reference_date,target,horizon,location,output_type,output_type_id,value
2026-01-11,weekly incident influenza cases,0,SE,mean,,2405.500000
2026-01-11,weekly incident influenza cases,1,SE,mean,,2680.500000
2026-01-11,weekly incident influenza cases,2,SE,mean,,2955.500000
2026-01-11,weekly incident influenza cases,3,SE,mean,,3230.500000
2026-01-11,weekly incident influenza cases,0,SE-M,mean,,221.000000
2026-01-11,weekly incident influenza cases,1,SE-M,mean,,258.300000
2026-01-11,weekly incident influenza cases,2,SE-M,mean,,295.600000
2026-01-11,weekly incident influenza cases,3,SE-M,mean,,332.900000
2026-01-11,weekly incident influenza cases,0,SE-O,mean,,280.000000
2026-01-11,weekly incident influenza cases,1,SE-O,mean,,324.300000
2026-01-11,weekly incident influenza cases,2,SE-O,mean,,368.600000
2026-01-11,weekly incident influenza cases,3,SE-O,mean,,412.900000
