reference_date,target,horizon,location,output_type,output_type_id,value
2025-12-28,weekly incident influenza cases,0,SE,mean,,2112.500000
2025-12-28,weekly incident influenza cases,1,SE,mean,,2551.900000
2025-12-28,weekly incident influenza cases,2,SE,mean,,2991.300000
2025-12-28,weekly incident influenza cases,3,SE,mean,,3430.700000
2025-12-28,weekly incident influenza cases,0,SE-M,mean,,134.500000
2025-12-28,weekly incident influenza cases,1,SE-M,mean,,164.100000
2025-12-28,weekly incident influenza cases,2,SE-M,mean,,193.700000
2025-12-28,weekly incident influenza cases,3,SE-M,mean,,223.300000
2025-12-28,weekly incident influenza cases,0,SE-O,mean,,199.000000
2025-12-28,weekly incident influenza cases,1,SE-O,mean,,241.300000
2025-12-28,weekly incident influenza cases,2,SE-O,mean,,283.600000
2025-12-28,weekly incident influenza cases,3,SE-O,mean,,325.900000
