reference_date,target,horizon,location,output_type,output_type_id,value
2026-03-08,weekly incident influenza cases,0,SE,mean,,1208.560000
2026-03-08,weekly incident influenza cases,1,SE,mean,,1173.808000
2026-03-08,weekly incident influenza cases,2,SE,mean,,1146.006400
2026-03-08,weekly incident influenza cases,3,SE,mean,,1123.765120
2026-03-08,weekly incident influenza cases,0,SE-M,mean,,138.960000
2026-03-08,weekly incident influenza cases,1,SE-M,mean,,125.328000
2026-03-08,weekly incident influenza cases,2,SE-M,mean,,114.422400
2026-03-08,weekly incident influenza cases,3,SE-M,mean,,105.697920
2026-03-08,weekly incident influenza cases,0,SE-O,mean,,172.280000
2026-03-08,weekly incident influenza cases,1,SE-O,mean,,162.104000
2026-03-08,weekly incident influenza cases,2,SE-O,mean,,153.963200
2026-03-08,weekly incident influenza cases,3,SE-O,mean,,147.450560
