reference_date,target,horizon,location,output_type,output_type_id,value
2026-02-15,weekly incident influenza cases,0,SE,mean,,1420.124007
2026-02-15,weekly incident influenza cases,1,SE,mean,,1556.284406
2026-02-15,weekly incident influenza cases,2,SE,mean,,1705.490572
2026-02-15,weekly incident influenza cases,3,SE,mean,,1868.992445
2026-02-15,weekly incident influenza cases,0,SE-M,mean,,259.132673
2026-02-15,weekly incident influenza cases,1,SE-M,mean,,311.978511
2026-02-15,weekly incident influenza cases,2,SE-M,mean,,375.559959
2026-02-15,weekly incident influenza cases,3,SE-M,mean,,452.057949
2026-02-15,weekly incident influenza cases,0,SE-O,mean,,266.611806
2026-02-15,weekly incident influenza cases,1,SE-O,mean,,314.969318
2026-02-15,weekly incident influenza cases,2,SE-O,mean,,372.065043
2026-02-15,weekly incident influenza cases,3,SE-O,mean,,439.477978
