reference_date,target,horizon,location,output_type,output_type_id,value
2025-12-14,weekly incident influenza cases,0,SE,mean,,1548.004252
2025-12-14,weekly incident influenza cases,1,SE,mean,,3203.302168
2025-12-14,weekly incident influenza cases,2,SE,mean,,6627.485601
2025-12-14,weekly incident influenza cases,3,SE,mean,,13710.822128
2025-12-14,weekly incident influenza cases,0,SE-M,mean,,56.846348
2025-12-14,weekly incident influenza cases,1,SE-M,mean,,91.452673
2025-12-14,weekly incident influenza cases,2,SE-M,mean,,146.762081
2025-12-14,weekly incident influenza cases,3,SE-M,mean,,235.160100
2025-12-14,weekly incident influenza cases,0,SE-O,mean,,146.871566
2025-12-14,weekly incident influenza cases,1,SE-O,mean,,322.564861
2025-12-14,weekly incident influenza cases,2,SE-O,mean,,707.007783
2025-12-14,weekly incident influenza cases,3,SE-O,mean,,1548.225769
