reference_date,horizon,location,output_type_id,term,coefficient,selected_alpha,training_sample_count
2025-12-07,0,SE,0.75,hubdemo-linear4,0,0.01,9
2025-12-07,0,SE,0.75,hubdemo-mean3,-4.97367559426,0.01,9
2025-12-07,0,SE,0.75,hubdemo-mean6,7.23613948622,0.01,9
2025-12-07,0,SE,0.75,hubdemo-persistence,0,0.01,9
2025-12-07,0,SE,0.9,intercept,-37.1146814245,0.001,9
2025-12-07,0,SE,0.9,hubdemo-damped4,0,0.001,9
2025-12-07,0,SE,0.9,hubdemo-exptrend4,-0.327042246686,0.001,9
2025-12-07,0,SE,0.9,hubdemo-linear4,3.04517521827,0.001,9
2025-12-07,0,SE,0.9,hubdemo-mean3,-9.17616951806,0.001,9
2025-12-07,0,SE,0.9,hubdemo-mean6,10.6065468402,0.001,9
2025-12-07,0,SE,0.9,hubdemo-persistence,0,0.001,9
2025-12-07,0,SE,0.975,intercept,-23.6888798148,0.001,9
2025-12-07,0,SE,0.975,hubdemo-damped4,1.4156431646,0.001,9
2025-12-07,0,SE,0.975,hubdemo-exptrend4,0,0.001,9
2025-12-07,0,SE,0.975,hubdemo-linear4,0,0.001,9
2025-12-07,0,SE,0.975,hubdemo-mean3,-2.03607711892,0.001,9
2025-12-07,0,SE,0.975,hubdemo-mean6,3.8132704353,0.001,9
2025-12-07,0,SE,0.975,hubdemo-persistence,0,0.001,9
2025-12-14,0,SE,0.025,intercept,-59.5759062498,0.001,10
2025-12-14,0,SE,0.025,hubdemo-damped4,1.96938080957,0.001,10
2025-12-14,0,SE,0.025,hubdemo-exptrend4,0,0.001,10
2025-12-14,0,SE,0.025,hubdemo-linear4,0,0.001,10
2025-12-14,0,SE,0.025,hubdemo-mean3,-4.8714793746,0.001,10
2025-12-14,0,SE,0.025,hubdemo-mean6,5.80581125601,0.001,10
2025-12-14,0,SE,0.025,hubdemo-persistence,0.307530309693,0.001,10
2025-12-14,0,SE,0.1,intercept,-58.5921261663,0.001,10
2025-12-14,0,SE,0.1,hubdemo-damped4,0.587238797877,0.001,10
2025-12-14,0,SE,0.1,hubdemo-exptrend4,0.108730605744,0.001,10
2025-12-14,0,SE,0.1,hubdemo-linear4,0,0.001,10
2025-12-14,0,SE,0.1,hubdemo-mean3,-5.09731409093,0.001,10
2025-12-14,0,SE,0.1,hubdemo-mean6,5.68234525558,0.001,10
2025-12-14,0,SE,0.1,hubdemo-persistence,1.97905422108,0.001,10
2025-12-14,0,SE,0.25,intercept,-62.455141586,0.01,10
2025-12-14,0,SE,0.25,hubdemo-damped4,0,0.01,10
2025-12-14,0,SE,0.25,hubdemo-exptrend4,0,0.01,10
2025-12-14,0,SE,0.25,hubdemo-linear4,0,0.01,10
2025-12-14,0,SE,0.25,hubdemo-mean3,-4.09590361917,0.01,10
2025-12-14,0,SE,0.25,hubdemo-mean6,4.46517746527,0.01,10
2025-12-14,0,SE,0.25,hubdemo-persistence,2.77263026495,0.01,10
2025-12-14,0,SE,0.5,intercept,-51.6294172444,0.01,10
2025-12-14,0,SE,0.5,hubdemo-damped4,0,0.01,10
2025-12-14,0,SE,0.5,hubdemo-exptrend4,0,0.01,10
2025-12-14,0,SE,0.5,hubdemo-linear4,0,0.01,10
2025-12-14,0,SE,0.5,hubdemo-mean3,-2.8755598673,0.01,10
2025-12-14,0,SE,0.5,hubdemo-mean6,3.86019369354,0.01,10
2025-12-14,0,SE,0.5,hubdemo-persistence,2.27270064032,0.01,10
2025-12-14,0,SE,0.75,intercept,-13.47806515,0.1,10
2025-12-14,0,SE,0.75,hubdemo-damped4,0,0.1,10
2025-12-14,0,SE,0.75,hubdemo-exptrend4,0,0.1,10
2025-12-14,0,SE,0.75,hubdemo-linear4,0,0.1,10
2025-12-14,0,SE,0.75,hubdemo-mean3,0,0.1,10
2025-12-14,0,SE,0.75,hubdemo-mean6,1.35656664951,0.1,10
2025-12-14,0,SE,0.75,hubdemo-persistence,1.45148645192,0.1,10
2025-12-14,0,SE,0.9,intercept,-26.0744783082,0.1,10
2025-12-14,0,SE,0.9,hubdemo-damped4,0,0.1,10
2025-12-14,0,SE,0.9,hubdemo-exptrend4,0,0.1,10
2025-12-14,0,SE,0.9,hubdemo-linear4,0,0.1,10
2025-12-14,0,SE,0.9,hubdemo-mean3,0,0.1,10
2025-12-14,0,SE,0.9,hubdemo-mean6,2.43328487931,0.1,10
2025-12-14,0,SE,0.9,hubdemo-persistence,1.09505900646,0.1,10
2025-12-14,0,SE,0.975,intercept,-19.7449974343,0.001,10
2025-12-14,0,SE,0.975,hubdemo-damped4,0,0.001,10
2025-12-14,0,SE,0.975,hubdemo-exptrend4,-0.0169431313561,0.001,10
2025-12-14,0,SE,0.975,hubdemo-linear4,0,0.001,10
2025-12-14,0,SE,0.975,hubdemo-mean3,-1.19385446241,0.001,10
2025-12-14,0,SE,0.975,hubdemo-mean6,2.41079298739,0.001,10
2025-12-14,0,SE,0.975,hubdemo-persistence,1.79124162942,0.001,10
2025-12-21,0,SE,0.025,intercept,-54.522447451,0.001,11
2025-12-21,0,SE,0.025,hubdemo-damped4,1.45943541969,0.001,11
2025-12-21,0,SE,0.025,hubdemo-exptrend4,0,0.001,11
2025-12-21,0,SE,0.025,hubdemo-linear4,0,0.001,11
2025-12-21,0,SE,0.025,hubdemo-mean3,0,0.001,11
2025-12-21,0,SE,0.025,hubdemo-mean6,0,0.001,11
2025-12-21,0,SE,0.025,hubdemo-persistence,0.121810776649,0.001,11
