reference_date,target_end_date,target,horizon,location,location_name,output_type,output_type_id,value,distribution,mean,standard_deviation,mean_window_weeks,training_sample_count,training_last_target_end_date,outcome_data_version
2025-10-05,2025-10-26,weekly incident influenza cases,3,SE,Sverige,quantile,0.975,969.141439546,normal_quantiles_clipped_at_zero,13,487.83622918,3,507,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-05,weekly incident influenza cases,0,SE-M,Region Skåne,quantile,0.025,0,normal_quantiles_clipped_at_zero,1,34.0348757436,3,510,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-05,weekly incident influenza cases,0,SE-M,Region Skåne,quantile,0.1,0,normal_quantiles_clipped_at_zero,1,34.0348757436,3,510,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-05,weekly incident influenza cases,0,SE-M,Region Skåne,quantile,0.25,0,normal_quantiles_clipped_at_zero,1,34.0348757436,3,510,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-05,weekly incident influenza cases,0,SE-M,Region Skåne,quantile,0.5,1,normal_quantiles_clipped_at_zero,1,34.0348757436,3,510,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-05,weekly incident influenza cases,0,SE-M,Region Skåne,quantile,0.75,23.9561748383,normal_quantiles_clipped_at_zero,1,34.0348757436,3,510,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-05,weekly incident influenza cases,0,SE-M,Region Skåne,quantile,0.9,44.6174482924,normal_quantiles_clipped_at_zero,1,34.0348757436,3,510,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-05,weekly incident influenza cases,0,SE-M,Region Skåne,quantile,0.975,67.7071306758,normal_quantiles_clipped_at_zero,1,34.0348757436,3,510,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-12,weekly incident influenza cases,1,SE-M,Region Skåne,quantile,0.025,0,normal_quantiles_clipped_at_zero,1,44.4738357848,3,509,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-12,weekly incident influenza cases,1,SE-M,Region Skåne,quantile,0.1,0,normal_quantiles_clipped_at_zero,1,44.4738357848,3,509,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-12,weekly incident influenza cases,1,SE-M,Region Skåne,quantile,0.25,0,normal_quantiles_clipped_at_zero,1,44.4738357848,3,509,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-12,weekly incident influenza cases,1,SE-M,Region Skåne,quantile,0.5,1,normal_quantiles_clipped_at_zero,1,44.4738357848,3,509,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-12,weekly incident influenza cases,1,SE-M,Region Skåne,quantile,0.75,30.9971463888,normal_quantiles_clipped_at_zero,1,44.4738357848,3,509,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-12,weekly incident influenza cases,1,SE-M,Region Skåne,quantile,0.9,57.9955138758,normal_quantiles_clipped_at_zero,1,44.4738357848,3,509,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-12,weekly incident influenza cases,1,SE-M,Region Skåne,quantile,0.975,88.1671163926,normal_quantiles_clipped_at_zero,1,44.4738357848,3,509,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-19,weekly incident influenza cases,2,SE-M,Region Skåne,quantile,0.025,0,normal_quantiles_clipped_at_zero,1,51.8273346404,3,508,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-19,weekly incident influenza cases,2,SE-M,Region Skåne,quantile,0.1,0,normal_quantiles_clipped_at_zero,1,51.8273346404,3,508,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-19,weekly incident influenza cases,2,SE-M,Region Skåne,quantile,0.25,0,normal_quantiles_clipped_at_zero,1,51.8273346404,3,508,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-19,weekly incident influenza cases,2,SE-M,Region Skåne,quantile,0.5,1,normal_quantiles_clipped_at_zero,1,51.8273346404,3,508,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-19,weekly incident influenza cases,2,SE-M,Region Skåne,quantile,0.75,35.9570059949,normal_quantiles_clipped_at_zero,1,51.8273346404,3,508,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-19,weekly incident influenza cases,2,SE-M,Region Skåne,quantile,0.9,67.4194018463,normal_quantiles_clipped_at_zero,1,51.8273346404,3,508,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-19,weekly incident influenza cases,2,SE-M,Region Skåne,quantile,0.975,102.57970931,normal_quantiles_clipped_at_zero,1,51.8273346404,3,508,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-26,weekly incident influenza cases,3,SE-M,Region Skåne,quantile,0.025,0,normal_quantiles_clipped_at_zero,1,57.025085698,3,507,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-26,weekly incident influenza cases,3,SE-M,Region Skåne,quantile,0.1,0,normal_quantiles_clipped_at_zero,1,57.025085698,3,507,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-26,weekly incident influenza cases,3,SE-M,Region Skåne,quantile,0.25,0,normal_quantiles_clipped_at_zero,1,57.025085698,3,507,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-26,weekly incident influenza cases,3,SE-M,Region Skåne,quantile,0.5,1,normal_quantiles_clipped_at_zero,1,57.025085698,3,507,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-26,weekly incident influenza cases,3,SE-M,Region Skåne,quantile,0.75,39.4628358073,normal_quantiles_clipped_at_zero,1,57.025085698,3,507,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-26,weekly incident influenza cases,3,SE-M,Region Skåne,quantile,0.9,74.0805878515,normal_quantiles_clipped_at_zero,1,57.025085698,3,507,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-26,weekly incident influenza cases,3,SE-M,Region Skåne,quantile,0.975,112.767114183,normal_quantiles_clipped_at_zero,1,57.025085698,3,507,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-05,weekly incident influenza cases,0,SE-O,Västra Götalandsregionen,quantile,0.025,0,normal_quantiles_clipped_at_zero,2,35.7036214393,3,510,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-05,weekly incident influenza cases,0,SE-O,Västra Götalandsregionen,quantile,0.1,0,normal_quantiles_clipped_at_zero,2,35.7036214393,3,510,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-05,weekly incident influenza cases,0,SE-O,Västra Götalandsregionen,quantile,0.25,0,normal_quantiles_clipped_at_zero,2,35.7036214393,3,510,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-05,weekly incident influenza cases,0,SE-O,Västra Götalandsregionen,quantile,0.5,2,normal_quantiles_clipped_at_zero,2,35.7036214393,3,510,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-05,weekly incident influenza cases,0,SE-O,Västra Götalandsregionen,quantile,0.75,26.0817267057,normal_quantiles_clipped_at_zero,2,35.7036214393,3,510,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-05,weekly incident influenza cases,0,SE-O,Västra Götalandsregionen,quantile,0.9,47.7560319511,normal_quantiles_clipped_at_zero,2,35.7036214393,3,510,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-05,weekly incident influenza cases,0,SE-O,Västra Götalandsregionen,quantile,0.975,71.9778121386,normal_quantiles_clipped_at_zero,2,35.7036214393,3,510,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-12,weekly incident influenza cases,1,SE-O,Västra Götalandsregionen,quantile,0.025,0,normal_quantiles_clipped_at_zero,2,48.061648634,3,509,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-12,weekly incident influenza cases,1,SE-O,Västra Götalandsregionen,quantile,0.1,0,normal_quantiles_clipped_at_zero,2,48.061648634,3,509,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-12,weekly incident influenza cases,1,SE-O,Västra Götalandsregionen,quantile,0.25,0,normal_quantiles_clipped_at_zero,2,48.061648634,3,509,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-12,weekly incident influenza cases,1,SE-O,Västra Götalandsregionen,quantile,0.5,2,normal_quantiles_clipped_at_zero,2,48.061648634,3,509,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-12,weekly incident influenza cases,1,SE-O,Västra Götalandsregionen,quantile,0.75,34.4170893812,normal_quantiles_clipped_at_zero,2,48.061648634,3,509,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-12,weekly incident influenza cases,1,SE-O,Västra Götalandsregionen,quantile,0.9,63.5934810495,normal_quantiles_clipped_at_zero,2,48.061648634,3,509,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-12,weekly incident influenza cases,1,SE-O,Västra Götalandsregionen,quantile,0.975,96.1991003602,normal_quantiles_clipped_at_zero,2,48.061648634,3,509,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-19,weekly incident influenza cases,2,SE-O,Västra Götalandsregionen,quantile,0.025,0,normal_quantiles_clipped_at_zero,2,57.8639004141,3,508,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-19,weekly incident influenza cases,2,SE-O,Västra Götalandsregionen,quantile,0.1,0,normal_quantiles_clipped_at_zero,2,57.8639004141,3,508,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-19,weekly incident influenza cases,2,SE-O,Västra Götalandsregionen,quantile,0.25,0,normal_quantiles_clipped_at_zero,2,57.8639004141,3,508,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-19,weekly incident influenza cases,2,SE-O,Västra Götalandsregionen,quantile,0.5,2,normal_quantiles_clipped_at_zero,2,57.8639004141,3,508,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-19,weekly incident influenza cases,2,SE-O,Västra Götalandsregionen,quantile,0.75,41.0286077357,normal_quantiles_clipped_at_zero,2,57.8639004141,3,508,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-19,weekly incident influenza cases,2,SE-O,Västra Götalandsregionen,quantile,0.9,76.1555721642,normal_quantiles_clipped_at_zero,2,57.8639004141,3,508,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-19,weekly incident influenza cases,2,SE-O,Västra Götalandsregionen,quantile,0.975,115.411160817,normal_quantiles_clipped_at_zero,2,57.8639004141,3,508,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-26,weekly incident influenza cases,3,SE-O,Västra Götalandsregionen,quantile,0.025,0,normal_quantiles_clipped_at_zero,2,65.7514029252,3,507,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-26,weekly incident influenza cases,3,SE-O,Västra Götalandsregionen,quantile,0.1,0,normal_quantiles_clipped_at_zero,2,65.7514029252,3,507,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-26,weekly incident influenza cases,3,SE-O,Västra Götalandsregionen,quantile,0.25,0,normal_quantiles_clipped_at_zero,2,65.7514029252,3,507,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-26,weekly incident influenza cases,3,SE-O,Västra Götalandsregionen,quantile,0.5,2,normal_quantiles_clipped_at_zero,2,65.7514029252,3,507,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-26,weekly incident influenza cases,3,SE-O,Västra Götalandsregionen,quantile,0.75,46.3486473341,normal_quantiles_clipped_at_zero,2,65.7514029252,3,507,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-26,weekly incident influenza cases,3,SE-O,Västra Götalandsregionen,quantile,0.9,86.2638133555,normal_quantiles_clipped_at_zero,2,65.7514029252,3,507,2025-09-28,2026-08-25T00:00:00Z
2025-10-05,2025-10-26,weekly incident influenza cases,3,SE-O,Västra Götalandsregionen,quantile,0.975,130.870381666,normal_quantiles_clipped_at_zero,2,65.7514029252,3,507,2025-09-28,2026-08-25T00:00:00Z
2025-10-12,2025-10-12,weekly incident influenza cases,0,SE,Sverige,quantile,0.025,0,normal_quantiles_clipped_at_zero,19.6666666667,271.485703238,3,511,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-12,weekly incident influenza cases,0,SE,Sverige,quantile,0.1,0,normal_quantiles_clipped_at_zero,19.6666666667,271.485703238,3,511,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-12,weekly incident influenza cases,0,SE,Sverige,quantile,0.25,0,normal_quantiles_clipped_at_zero,19.6666666667,271.485703238,3,511,2025-10-05,2026-08-25T00:00:00Z
