reference_date,target_end_date,target,horizon,location,location_name,forecast_kind,observed_value,qra_wis,baseline_wis,wis_difference,wis_skill,qra_covered_50,baseline_covered_50,qra_covered_80,baseline_covered_80,qra_covered_95,baseline_covered_95,outcome_data_version
2025-12-21,2025-12-28,weekly incident influenza cases,1,SE,Sverige,forecast,1682,2325.2549701,538.125466705,1787.12950339,-3.32102755578,false,false,false,false,false,false,2026-08-25T00:00:00Z
2025-12-28,2026-01-04,weekly incident influenza cases,1,SE,Sverige,forecast,2227,1033.14781869,659.251175859,373.896642831,-0.567153547119,false,false,false,false,true,false,2026-08-25T00:00:00Z
2026-01-04,2026-01-11,weekly incident influenza cases,1,SE,Sverige,forecast,1532,737.508652478,75.8072745664,661.701377912,-8.72873192839,false,true,true,true,true,true,2026-08-25T00:00:00Z
2026-01-11,2026-01-18,weekly incident influenza cases,1,SE,Sverige,forecast,1082,908.232849824,422.382249253,485.850600571,-1.15026282811,false,false,true,false,true,false,2026-08-25T00:00:00Z
2026-01-18,2026-01-25,weekly incident influenza cases,1,SE,Sverige,forecast,968,801.317996961,501.377279148,299.940717813,-0.598233566393,true,false,true,false,true,false,2026-08-25T00:00:00Z
2026-01-25,2026-02-01,weekly incident influenza cases,1,SE,Sverige,forecast,1107,1149.17328406,226.477211844,922.696072216,-4.07412324049,false,false,true,false,true,true,2026-08-25T00:00:00Z
2026-02-01,2026-02-08,weekly incident influenza cases,1,SE,Sverige,forecast,1404,601.86579794,104.353221236,497.512576704,-4.76758235933,false,true,false,true,false,true,2026-08-25T00:00:00Z
2026-02-08,2026-02-15,weekly incident influenza cases,1,SE,Sverige,forecast,1616,646.11634649,266.561251298,379.555095192,-1.42389448333,false,false,false,false,false,true,2026-08-25T00:00:00Z
2026-02-15,2026-02-22,weekly incident influenza cases,1,SE,Sverige,forecast,1529,303.254694181,160.120548318,143.134145863,-0.893914912025,false,false,false,true,true,true,2026-08-25T00:00:00Z
2026-02-22,2026-03-01,weekly incident influenza cases,1,SE,Sverige,forecast,1252,118.822658374,92.1159612648,26.7066971092,-0.289924750744,true,true,true,true,true,true,2026-08-25T00:00:00Z
2026-03-01,2026-03-08,weekly incident influenza cases,1,SE,Sverige,forecast,775,242.848620004,394.217266752,-151.368646748,0.383972645326,false,false,true,false,true,false,2026-08-25T00:00:00Z
2026-03-08,2026-03-15,weekly incident influenza cases,1,SE,Sverige,forecast,475,312.20140151,643.842362713,-331.640961203,0.515096521151,false,false,false,false,true,false,2026-08-25T00:00:00Z
2026-03-15,2026-03-22,weekly incident influenza cases,1,SE,Sverige,forecast,321,379.731797358,516.572243969,-136.840446611,0.264900888905,false,false,false,false,true,false,2026-08-25T00:00:00Z
2026-03-22,2026-03-29,weekly incident influenza cases,1,SE,Sverige,forecast,223,343.948923336,299.300847583,44.648075753,-0.149174571718,false,false,true,false,true,true,2026-08-25T00:00:00Z
2026-03-29,2026-04-05,weekly incident influenza cases,1,SE,Sverige,forecast,187,212.445179943,144.549394339,67.895785604,-0.469706468951,true,false,true,true,true,true,2026-08-25T00:00:00Z
2026-04-05,2026-04-12,weekly incident influenza cases,1,SE,Sverige,forecast,175,178.446472818,91.7392847079,86.7071881101,-0.945147854446,true,true,true,true,true,true,2026-08-25T00:00:00Z
2026-04-12,2026-04-19,weekly incident influenza cases,1,SE,Sverige,forecast,106,94.7122239256,83.4657683344,11.2464555912,-0.134743330297,false,true,false,true,true,true,2026-08-25T00:00:00Z
2026-04-19,2026-04-26,weekly incident influenza cases,1,SE,Sverige,forecast,89,108.116087841,73.6991048667,34.4169829743,-0.466993229247,false,true,false,true,true,true,2026-08-25T00:00:00Z
2026-04-26,2026-05-03,weekly incident influenza cases,1,SE,Sverige,forecast,74,90.1689090445,66.0615109229,24.1073981216,-0.364923505152,false,true,false,true,true,true,2026-08-25T00:00:00Z
2026-05-03,2026-05-10,weekly incident influenza cases,1,SE,Sverige,forecast,65,88.591182495,59.1483379986,29.4428444964,-0.497779743145,false,true,false,true,true,true,2026-08-25T00:00:00Z
2026-05-10,2026-05-17,weekly incident influenza cases,1,SE,Sverige,forecast,53,89.6483615229,52.4127429772,37.2356185457,-0.710430640157,false,true,false,true,true,true,2026-08-25T00:00:00Z
2026-05-17,2026-05-24,weekly incident influenza cases,1,SE,Sverige,forecast,53,87.0018527498,48.9621576201,38.0396951297,-0.776920319257,false,true,false,true,true,true,2026-08-25T00:00:00Z
2025-12-14,2025-12-28,weekly incident influenza cases,2,SE,Sverige,forecast,1682,1670.90615909,850.92516096,819.98099813,-0.96363468346,false,false,false,false,false,false,2026-08-25T00:00:00Z
