location,location_name,year,week,target_end_date,value,status,release_status,data_version,source_region_code,source_year_week,official_release_time
SE,Sverige,2015,43,2015-10-25,,suppressed,historical,2026-08-25T00:00:00Z,00,2015W43,
SE-M,Region Skåne,2015,43,2015-10-25,,suppressed,historical,2026-08-25T00:00:00Z,12,2015W43,
SE-O,Västra Götalandsregionen,2015,43,2015-10-25,,suppressed,historical,2026-08-25T00:00:00Z,14,2015W43,
SE,Sverige,2015,44,2015-11-01,,suppressed,historical,2026-08-25T00:00:00Z,00,2015W44,
SE-M,Region Skåne,2015,44,2015-11-01,,suppressed,historical,2026-08-25T00:00:00Z,12,2015W44,
SE-O,Västra Götalandsregionen,2015,44,2015-11-01,,suppressed,historical,2026-08-25T00:00:00Z,14,2015W44,
SE,Sverige,2015,45,2015-11-08,,suppressed,historical,2026-08-25T00:00:00Z,00,2015W45,
SE-M,Region Skåne,2015,45,2015-11-08,,suppressed,historical,2026-08-25T00:00:00Z,12,2015W45,
SE-O,Västra Götalandsregionen,2015,45,2015-11-08,,suppressed,historical,2026-08-25T00:00:00Z,14,2015W45,
SE,Sverige,2015,46,2015-11-15,,suppressed,historical,2026-08-25T00:00:00Z,00,2015W46,
SE-M,Region Skåne,2015,46,2015-11-15,,suppressed,historical,2026-08-25T00:00:00Z,12,2015W46,
SE-O,Västra Götalandsregionen,2015,46,2015-11-15,,suppressed,historical,2026-08-25T00:00:00Z,14,2015W46,
SE,Sverige,2015,47,2015-11-22,,suppressed,historical,2026-08-25T00:00:00Z,00,2015W47,
SE-M,Region Skåne,2015,47,2015-11-22,,suppressed,historical,2026-08-25T00:00:00Z,12,2015W47,
SE-O,Västra Götalandsregionen,2015,47,2015-11-22,,suppressed,historical,2026-08-25T00:00:00Z,14,2015W47,
SE,Sverige,2015,48,2015-11-29,,suppressed,historical,2026-08-25T00:00:00Z,00,2015W48,
SE-M,Region Skåne,2015,48,2015-11-29,,suppressed,historical,2026-08-25T00:00:00Z,12,2015W48,
SE-O,Västra Götalandsregionen,2015,48,2015-11-29,,suppressed,historical,2026-08-25T00:00:00Z,14,2015W48,
SE,Sverige,2015,49,2015-12-06,90,available,historical,2026-08-25T00:00:00Z,00,2015W49,
SE-M,Region Skåne,2015,49,2015-12-06,9,available,historical,2026-08-25T00:00:00Z,12,2015W49,
SE-O,Västra Götalandsregionen,2015,49,2015-12-06,10,available,historical,2026-08-25T00:00:00Z,14,2015W49,
